Matter_ID,RMS_CaseNumber_Standardized,Suspect_Acquaintance_NJIT,Suspect_Acquaintance,Suspect_Neighbor,Suspect_Planned_first_meeting_dating
5153564,07-270675,1,1,0,0
5153582,07-461898,1,1,0,0
5154974,95-80732,1,1,0,0
5155534,06-145772,1,1,0,0
5155711,95-39527,1,1,0,0
5156025,06-150531,1,1,0,0
5156179,08-236673,1,1,0,0
5156857,06-341539,1,1,0,0
5157113,95-30976,1,1,0,0
5157934,95-45878,1,1,0,0
5158016,95-56559,1,1,0,0
5158020,95-59228,1,1,0,0
5158024,95-59242,1,1,0,0
5158111,06-484460,1,1,0,0
5158163,05-513245,1,1,0,0
5158278,08-834445,1,1,0,0
5158445,06-393573,1,1,0,0
5159017,08-72641,1,1,0,0
5159509,05-491543,1,0,0,1
5159747,05-36215,1,1,0,0
5161184,04-354051,1,1,0,0
5161492,05-51,1,1,0,0
5161969,03-215611,1,1,0,0
5161969,08-29909,1,1,0,0
5162148,04-430859,1,1,0,0
5162447,04-467774,1,1,0,0
5162695,95-77493,1,0,1,0
5162697,95-76439,1,1,0,0
5162762,05-93453,1,1,0,0
5163182,06-513191,1,1,0,0
5163638,06-165143,1,1,0,0
5164061,95-59335,1,1,0,0
5164075,95-69880,1,1,0,0
5164114,95-73986,1,1,0,0
5164130,95-78922,1,1,0,0
5164195,04-533834,1,1,0,0
5164195,05-26549,1,1,0,0
5164482,95-88215,1,0,1,0
5166129,06-671,1,1,0,0
5167676,93-17835,1,0,1,0
5168159,96-4246,1,1,0,0
5168423,95-92027,1,1,0,0
5168434,95-96564,1,1,0,0
5169269,96-4553,1,1,0,0
5170074,03-228145,1,1,0,0
5171094,00-106345,1,0,1,0
5171458,00-213481,1,1,0,0
5171769,00-310223,1,1,0,0
5174872,96-19210,1,1,0,0
5175398,96-25595,1,1,0,0
5175415,96-28164,1,1,0,0
5175419,96-29829,1,1,0,0
5177716,93-90286,1,0,0,1
5177796,01-103314,1,1,0,0
5178097,94-6223,1,1,0,0
5178102,94-7182,1,1,0,0
5178187,94-25593,1,1,0,0
5178250,96-33920,1,1,0,0
5178264,96-34485,1,1,1,0
5178271,96-35021,1,1,0,0
5178331,94-48239,1,0,1,0
5179720,02-84884,1,1,0,0
5180025,96-44212,1,1,0,0
5180044,96-55387,1,1,0,0
5180046,96-45917,1,1,0,0
5180058,96-56280,1,1,0,0
5180074,96-49856,1,1,0,0
5180208,96-71557,1,0,1,0
5180575,96-43144,1,1,0,0
5180585,96-50539,1,1,0,0
5181086,96-38942,1,1,0,0
5181193,00-328544,1,1,0,0
5181934,01-306263,1,0,1,0
5182137,96-46892,1,1,0,0
5182338,97-91175,1,1,0,0
5182360,01-530359,1,0,1,0
5183128,02-119780,1,1,0,0
5183325,02-170276,1,1,0,0
5183579,11-114553,1,1,0,0
5184004,99-5966,1,1,0,0
5184015,99-15388,1,1,0,0
5184065,99-18424,1,1,0,0
5184938,99-77318,1,1,0,0
5185260,03-396535,1,1,0,0
5186524,06-53716,1,1,0,0
5186655,04-283130,1,1,0,0
5186657,04-517752,1,1,0,0
5186659,06-10098,1,1,0,0
5186667,06-354147,1,1,0,0
5186672,06-408424,1,1,0,0
5187477,97-49210,1,1,0,0
5187670,09-214467,1,1,0,0
5187757,02-452247,1,1,0,0
5187797,03-152447,1,1,0,0
5187808,03-262413,1,1,0,0
5187810,03-237551,1,1,0,0
5187845,04-276109,1,1,0,0
5187869,03-282686,1,1,0,0
5187920,03-358229,1,0,1,0
5187928,04-174607,1,1,0,0
5187965,04-177367,1,0,0,1
5188005,04-268559,1,1,0,0
5188017,06-402609,1,1,0,0
5188322,02-310756,1,1,0,0
5188322,02-310756,1,1,0,0
5188336,02-435796,1,0,1,0
5188371,03-4740,1,1,0,0
5188467,04-427318,1,1,0,0
5189065,01-571406,1,1,0,0
5189190,04-14056,1,1,0,0
5189205,04-497099,1,1,0,0
5189462,95-97472,1,0,1,0
5191181,03-160287,1,1,0,0
5191939,04-496883,1,1,0,0
5192025,04-541507,1,1,0,0
5192242,03-416832,1,0,1,0
5192832,05-89686,1,1,0,0
5193160,05-168358,1,1,0,0
5193647,05-254564,1,1,0,0
5193768,05-328709,1,1,0,0
5194282,05-356324,1,0,1,0
5194338,05-375308,1,0,0,1
5194381,05-122693,1,0,1,0
5194656,00-259265,1,1,0,0
5195162,01-465767,1,1,0,0
5197724,06-264391,1,1,0,0
5198058,06-355443,1,1,0,0
5198273,07-174257,1,1,0,0
5198662,07-229641,1,1,0,0
5198977,03-16233,1,1,0,0
5199198,07-392211,1,1,0,0
5199739,08-57620,1,0,1,0
5199955,08-144667,1,1,0,0
5199955,08-145035,1,1,0,0
5200881,08-241989,1,1,0,0
5200943,08-242673,1,1,0,0
5200983,08-370207,1,1,0,0
5201212,94-65624,1,1,0,0
5201499,09-103198,1,1,0,0
5202791,09-147165,1,1,0,0
5202828,09-201551,1,1,0,0
5202879,09-179582,1,1,0,0
5202933,09-232395,1,0,1,0
5204332,09-374334,1,1,0,0
5212597,10-9590,1,1,0,0
5213015,10-55947,1,0,1,0
5213143,10-69589,1,1,0,0
5214613,10-97139,1,1,0,0
5217536,10-176685,1,1,0,0
