word,variance
elkins,34.58
scooter,34.58
hoskay,31.901538461538458
eloise,29.46461538461539
lomack,29.46461538461539
omena,29.46461538461539
montgomerie,29.46461538461539
nora,28.481538461538467
randy,28.481538461538463
geartner,28.481538461538463
randolph,26.715384615384618
empire,25.735384615384614
keiper,24.75846153846154
gehring,24.615384615384613
baylen,24.615384615384613
langford,24.615384615384613
flunder,24.615384615384613
gunman,23.538461538461537
guerra,23.521538461538466
austin,22.584615384615386
isabel,22.153846153846157
hitchcock,22.153846153846157
grimm,21.74153846153846
benita,20.56153846153846
ntica,20.56153846153846
hardy,20.46153846153846
pacifier,20.46153846153846
dine,20.46153846153846
composite,20.455384615384613
hartness,19.93846153846154
mayview,19.93846153846154
smity,19.93846153846154
hancock,19.915384615384614
denos,19.066153846153846
sherman,18.141538461538463
grant,18.135384615384613
needle,17.786153846153848
wrists,17.62461538461538
bolden,17.50153846153846
minivan,17.404615384615383
player,17.244615384615386
chad,17.146153846153844
bello,16.89846153846154
pole,16.824615384615385
wendy,16.775384615384617
pollard,16.746153846153845
jayson,16.746153846153845
elaine,16.713846153846156
cox,16.684615384615388
watson,16.54153846153846
googer,16.54153846153846
alberta,16.54153846153846
grass,16.524615384615384
erika,16.40615384615385
psychiatric,16.27846153846154
mildred,16.27846153846154
fay,16.246153846153845
schoolmate,16.246153846153845
rosser,16.135384615384616
shaquita,15.753846153846155
roupe,15.753846153846155
eunice,15.753846153846155
tionna,15.753846153846155
jalisha,15.753846153846155
ronny,15.753846153846155
honeydale,15.753846153846155
nataya,15.753846153846155
delores,15.753846153846155
memphis,15.698461538461538
mess,15.495384615384614
lessman,15.441538461538462
bandana,15.38
darlene,15.324615384615385
nigger,15.306153846153846
faces,15.206153846153844
post,15.121538461538464
kenmore,15.064615384615385
satterwhite,15.064615384615385
kess,15.064615384615385
writer,15.064615384615385
knauf,15.064615384615385
reuben,15.064615384615385
cleaners,15.053846153846155
meyer,15.004615384615384
dorian,14.953846153846156
earlwood,14.861538461538462
rapekidnappingarrest,14.715384615384616
mcclellan,14.684615384615384
byron,14.62153846153846
carl,14.42
clinton,14.401538461538461
often,14.375384615384615
hewitt,14.258461538461539
poster,14.246153846153847
remona,14.178461538461537
kempton,14.178461538461537
geraldine,14.178461538461537
broadview,14.086153846153847
fordr,14.055384615384614
